cmc_rank,name,symbol,market_pair_count,circulating_supply,total_supply,max_supply,is_active,last_updated,date_added,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,fully_dillutted_market_cap,market_cap_by_total_supply,dominance,ytd_price_change_percentage
11,Toncoin,USD,137,3431892087.62,5047558528.0,inf,True,2023-09-04 14:57:00+00:00,2021-08-26 13:40:22+00:00,1.895119296057881,26531516.70523902,6503844917.237027,-0.23637845,0.64067422,26.77050524,58.4414344,38.27970695,13.59817357,9565725564.39,9565725564.394316,0.6245,-17.8461
12,Dai,USD,2560,5347888595.746408,5347888595.746408,inf,True,2023-09-04 14:57:00+00:00,2019-11-22 00:00:00+00:00,0.9992759387564496,56950927.97642425,5344016396.879403,-0.02567555,-0.06252244,-0.05440987,-0.08135575,-0.06098114,-0.03527612,5344016396.88,5344016396.879403,0.5133,-0.0514
13,Polkadot,USD,582,1220010567.7130852,1352269925.018265,inf,True,2023-09-04 14:57:00+00:00,2020-08-19 00:00:00+00:00,4.237831667751288,82049600.16023335,5170199418.845739,-0.44382366,-0.60523959,-6.64118673,-14.49648859,-16.90131523,-16.57330282,5730692311.59,5730692311.590063,0.4964,-3.0426
14,Polygon,USD,880,9319469069.28493,10000000000.0,10000000000.0,True,2023-09-04 14:57:00+00:00,2019-04-28 00:00:00+00:00,0.5481732824345025,204765267.2261963,5108683950.256738,-0.54654474,0.85056447,-2.58669152,-17.68079689,-16.72669643,-32.07204695,5481732824.35,5481732824.345025,0.4906,-27.8694
15,Litecoin,USD,993,73616657.97743528,84000000.0,84000000.0,True,2023-09-04 14:57:00+00:00,2013-04-28 00:00:00+00:00,63.66460986520503,224209164.6792852,4686775809.713651,-0.58867915,-0.60357193,-2.33396412,-23.10465152,-35.00949415,-27.94454203,5347827228.68,5347827228.677222,0.4501,-10.0981
16,Shiba Inu,USD,636,589346914631298.1,589589040239379.6,inf,True,2023-09-04 14:57:00+00:00,2020-08-01 00:00:00+00:00,7.66621273262093e-06,91192479.81908607,4518058820.877317,-0.56448075,-1.63269012,-5.06320762,-24.85880425,5.86879411,-5.07949911,4519915007.3,4519915007.2968855,0.434,-5.633
17,Wrapped Bitcoin,USD,1358,162974.76175269,162974.76175269,inf,True,2023-09-04 14:57:00+00:00,2019-01-30 00:00:00+00:00,25859.577146102005,94098470.43123376,4214458424.4112816,-0.10513913,-0.22132382,-0.96748951,-10.93286532,-14.15600503,-0.52981332,4214458424.41,4214458424.4112816,0.4047,56.1463
18,Bitcoin Cash,USD,769,19494975.0,19494975.0,21000000.0,True,2023-09-04 14:57:00+00:00,2017-07-23 00:00:00+00:00,192.4471028412961,155039045.3264648,3751751458.713496,-0.26156575,-1.18057657,0.39462939,-14.68937746,-32.02307885,75.65343225,4041389159.67,3751751458.713496,0.3602,98.491
19,Avalanche,USD,500,353604174.0013926,430980354.0013926,720000000.0,True,2023-09-04 14:57:00+00:00,2020-07-13 00:00:00+00:00,9.875463468938223,89029780.8668919,3492005102.8148284,-0.1169511,-0.27018205,-3.57850791,-19.95395178,-20.24306209,-30.29221377,7110333697.64,4256130741.770817,0.3354,-9.1152
20,TrueUSD,USD,430,3441761055.8,3441761055.8,inf,True,2023-09-04 14:57:00+00:00,2018-03-06 00:00:00+00:00,0.9983211213722772,1365353804.1130233,3435982756.7216883,-0.01231313,-0.05285243,-0.0868611,-0.18490134,-0.15152154,-0.16159873,3435982756.72,3435982756.7216883,0.33,-0.1837
21,UNUS SED LEO,USD,29,929419295.9,985239504.0,inf,True,2023-09-04 14:57:00+00:00,2019-05-21 00:00:00+00:00,3.660538815911561,1096439.71698657,3402175408.899143,-0.10570076,-5.8651228,-3.26310685,-8.53054172,-6.82055224,4.0686527,3606507447.36,3606507447.361454,0.3268,3.8774
22,Stellar,USD,531,27464247989.10612,50001787183.47154,50001806812.0,True,2023-09-04 14:57:00+00:00,2014-08-05 00:00:00+00:00,0.122718908620988,168051732.18248904,3370382539.319268,-0.26080856,5.89124798,2.73370637,-10.40167235,25.49967973,39.57100145,6136167161.05,6136164752.254535,0.3237,69.2107
23,Chainlink,USD,1308,538099970.4527867,1000000000.0,1000000000.0,True,2023-09-04 14:57:00+00:00,2017-09-20 00:00:00+00:00,6.027429879880754,122684428.63020608,3243359840.270077,-0.38444839,0.18967582,0.38851522,-16.36201085,-2.03406244,-2.87670532,6027429879.88,6027429879.880754,0.3115,7.203
24,Binance USD,USD,7232,2844551207.689097,2844551207.689097,inf,True,2023-09-04 14:57:00+00:00,2019-09-20 00:00:00+00:00,1.000039927709427,930973375.8723236,2844664784.103168,-0.0120761,-0.03799189,-0.01988898,-0.03069465,-0.02548029,0.02980319,2844664784.1,2844664784.103168,0.2732,-0.03
25,Monero,USD,242,18327323.03645369,18327323.03645369,inf,True,2023-09-04 14:57:00+00:00,2014-05-21 00:00:00+00:00,142.114864997865,62254964.7353925,2604585039.097877,-0.32789915,1.27261454,-0.87963008,-10.16643236,-14.06674818,-0.52592081,2604585039.1,2604585039.097877,0.2502,-4.3493
26,Uniswap,USD,806,577501031.0,1000000000.0,1000000000.0,True,2023-09-04 14:57:00+00:00,2020-09-17 00:00:00+00:00,4.418963813333387,66328565.11490588,2551956158.1517224,-0.42319491,-0.19873905,-6.11996828,-26.39082902,-16.54107765,-7.19026549,4418963813.33,4418963813.333387,0.2451,-15.7675
27,OKB,USD,103,60000000.0,300000000.0,inf,True,2023-09-04 14:57:00+00:00,2019-04-30 00:00:00+00:00,42.207167600398726,1753770.4550748,2532430056.0239234,-0.43972659,-0.00634812,-2.1475726,-6.26187948,-1.49461314,-5.6016467,12662150280.12,12662150280.119616,0.2433,53.7384
28,Cosmos,USD,495,362742174.0,362742174.0,inf,True,2023-09-04 14:57:00+00:00,2019-03-14 00:00:00+00:00,6.782696235767332,66446933.24299126,2460369978.1438584,-0.54964202,-1.01096504,-6.19881898,-19.56148033,-26.28224273,-32.47616849,2460369978.14,2460369978.1438584,0.2363,-28.3352
29,Ethereum Classic,USD,450,142827413.3501602,210700000.0,210700000.0,True,2023-09-04 14:57:00+00:00,2016-07-24 00:00:00+00:00,15.313385420204,61443144.48311748,2187171229.201793,-0.34148451,-0.68916149,-3.32064762,-14.39326191,-18.77898928,-10.96760045,3226530308.04,3226530308.036983,0.2101,-2.9079
30,Hedera,USD,183,33181480123.500668,50000000000.0,50000000000.0,True,2023-09-04 14:57:00+00:00,2019-09-17 00:00:00+00:00,0.0484472119156432,36397759.63456167,1607550199.217942,0.17317888,-1.62389125,-12.94881803,-6.69149173,4.35971495,-0.45483976,2422360595.78,2422360595.782164,0.1544,27.2117
31,Mantle,USD,17,3234382070.7631407,6219316794.99,6219316768.0,True,2023-09-04 14:57:00+00:00,2023-07-17 11:00:31+00:00,0.4454583896190351,11915566.28868316,1440782628.654829,-0.44995616,-1.52132655,3.18112125,-13.14047091,-7.425864,-7.425864,2770446832.0,2770446844.0268645,0.1384,0.0
32,Internet Computer,USD,175,442227057.91486144,504521475.7841362,inf,True,2023-09-04 14:57:00+00:00,2021-03-23 00:00:00+00:00,3.241337967995157,13697496.26408557,1433407353.2942336,-0.24382541,-0.23500563,-7.10209221,-19.52995651,-22.11654996,-25.69557572,1635324615.13,1635324615.12807,0.1377,-19.321
33,Filecoin,USD,357,445918141.0,1961453223.0,inf,True,2023-09-04 14:57:00+00:00,2017-12-13 00:00:00+00:00,3.1798456471376912,82858475.8632085,1417950859.6385813,-0.35489166,0.28042499,-5.59268141,-21.83298426,-28.26166257,-25.93111458,6237118493.22,6237118493.220745,0.1362,2.1992
34,Lido DAO,USD,238,887702025.5719393,1000000000.0,1000000000.0,True,2023-09-04 14:57:00+00:00,2020-12-15 00:00:00+00:00,1.5345557088099775,38063856.4904926,1362228211.0636003,-0.61280463,0.11179821,-3.05486314,-16.94547197,-22.80640718,-35.32965948,1534555708.81,1534555708.8099778,0.1308,42.0676
35,Cronos,USD,198,25263013692.0,30263013692.0,30263013692.0,True,2023-09-04 14:57:00+00:00,2018-12-14 00:00:00+00:00,0.0507365815885827,11143424.56274505,1281758955.35764,0.06048965,0.42377992,-3.41938651,-12.14094499,-11.50998709,-14.35784042,1535441863.3,1535441863.3005536,0.1231,-10.723
36,Aptos,USD,262,228887835.4122627,1053453055.4411684,inf,True,2023-09-04 14:57:00+00:00,2022-10-19 01:50:25+00:00,5.500131731948846,58812887.56237307,1258913246.6080709,-0.13131216,-0.44146568,-3.30688009,-17.77748277,-23.4300487,-31.40949937,5794130578.35,5794130578.350437,0.1209,55.9587
37,Quant,USD,183,12072738.0,14881364.27,14881364.0,True,2023-09-04 14:57:00+00:00,2018-08-10 00:00:00+00:00,97.3566136490688,14332982.12008734,1175360889.1524315,-0.25961518,-1.95090844,-4.64066542,-4.10125608,-6.28826178,-17.04292338,1448799205.52,1448799231.8054466,0.1129,-7.9701
38,Arbitrum,USD,478,1275000000.0,10000000000.0,inf,True,2023-09-04 14:57:00+00:00,2023-03-23 12:50:11+00:00,0.898656539183937,114424119.4628506,1145787087.4595196,-0.6590022,0.98840394,-4.3661861,-21.53274619,-17.21782211,-22.71668342,8986565391.84,8986565391.83937,0.1101,0.0
39,VeChain,USD,240,72714516834.0,85985041177.0,86712634466.0,True,2023-09-04 14:57:00+00:00,2017-08-22 00:00:00+00:00,0.0154497104356492,20180607.36744549,1123418229.5534444,-0.41994363,-0.29878608,-2.86651948,-13.46039051,-16.48757109,-16.61651038,1339685093.61,1328443987.9820292,0.1079,-3.6658
40,Maker,USD,373,977631.03695089,977631.03695089,1005577.0,True,2023-09-04 14:57:00+00:00,2017-01-29 00:00:00+00:00,1121.748710449271,133154897.02130848,1096656354.9948442,0.11507891,-0.63553186,8.69408374,-11.86173176,12.98213708,74.16798466,1128004703.01,1096656354.9948442,0.1053,118.6565
41,Optimism,USD,340,798517235.0,4294967296.0,4294967296.0,True,2023-09-04 14:57:00+00:00,2022-05-31 16:19:46+00:00,1.3330491523050456,68191604.5079764,1064462723.2177188,-0.37623383,0.09578844,-6.3345437,-20.32628681,11.2174864,-11.96321454,5725402513.11,5725402513.110694,0.1022,44.4071
42,NEAR Protocol,USD,286,941671517.0,1000000000.0,inf,True,2023-09-04 14:57:00+00:00,2020-08-11 00:00:00+00:00,1.1263400117251332,49216242.4619173,1060642307.499004,-0.50098139,-0.27316113,-5.15241764,-16.78201005,-13.81765479,-24.31272413,1126340011.73,1126340011.7251332,0.1019,-11.7163
43,The Graph,USD,338,9175096493.086649,10742707237.68144,inf,True,2023-09-04 14:57:00+00:00,2020-12-17 00:00:00+00:00,0.0872507556280063,25935053.86407407,800534101.9816809,-0.56676738,-0.03487432,-2.45543952,-16.70410891,-25.05107622,-24.98688781,937309323.98,937309323.978158,0.0769,54.3881
44,Aave,USD,663,14532430.37151066,16000000.0,16000000.0,True,2023-09-04 14:57:00+00:00,2020-10-02 00:00:00+00:00,54.62358345268608,53643962.45469534,793813423.1685624,-0.36906562,0.15826064,-6.06560628,-15.1298861,-24.31771097,-9.86324533,873977335.24,873977335.2429774,0.0763,4.9528
45,XDC Network,USD,62,13860908968.65,37705012698.75,inf,True,2023-09-04 14:57:00+00:00,2018-04-12 00:00:00+00:00,0.056621853388244,9535993.62013468,784830355.4506979,-0.34820469,-2.02748331,8.97186611,-17.82772523,78.89345526,73.24792646,2134927701.03,2134927701.030504,0.0754,119.8718
46,Algorand,USD,356,7828352278.588547,7828352278.588547,10000000000.0,True,2023-09-04 14:57:00+00:00,2019-06-20 00:00:00+00:00,0.0935883259022745,16632896.4399727,732642384.3263586,-0.0389443,-0.5922623,-1.93625245,-11.5590483,-19.24943129,-31.41700377,935883259.02,732642384.3263586,0.0704,-47.2641
47,USDD,USD,146,725332034.742248,725332034.742248,inf,True,2023-09-04 14:57:00+00:00,2022-05-02 08:07:12+00:00,0.9965736796268738,19504126.75997614,722846814.8143295,-0.03815221,-0.06736791,-0.09941227,-0.14827806,-0.22895243,-0.27989003,722846814.81,722846814.8143295,0.0694,1.5561
48,Tezos,USD,304,951281933.387391,972304887.795798,inf,True,2023-09-04 14:57:00+00:00,2017-10-06 00:00:00+00:00,0.6954463749538266,12139284.61252493,661565572.1333287,-0.2268711,0.7708383,-1.26535379,-13.98771068,-11.02433693,-19.11397113,676185909.57,676185909.5674748,0.0635,-3.2839
49,MultiversX,USD,180,25915548.0,25920700.0,31415926.0,True,2023-09-04 14:57:00+00:00,2020-09-04 00:00:00+00:00,24.872693238799336,10038124.27864131,644589475.5193796,-0.18885316,0.28310911,-1.16746372,-19.96104335,-26.16994741,-31.23357986,781398690.21,644717619.634946,0.0619,-24.5153
50,EOS,USD,573,1101668382.2587,1101668382.2587,inf,True,2023-09-04 14:57:00+00:00,2017-07-01 00:00:00+00:00,0.5781774769990189,70483863.7230869,636959845.7439259,-0.19056704,-0.39916376,-1.94750717,-19.65638391,-18.44364384,-32.10586761,636959845.74,636959845.7439259,0.0612,-34.1818
51,Stacks,USD,116,1404632214.551949,1818000000.0,1818000000.0,True,2023-09-04 14:57:00+00:00,2019-10-28 00:00:00+00:00,0.4529496715402298,14968290.38171903,636227700.216131,-0.19877307,-0.60833582,-1.10145597,-21.30104583,-30.93342534,-23.175179,823462502.86,823462502.8601379,0.0611,112.6477
52,Axie Infinity,USD,350,140847525.92445415,270000000.0,270000000.0,True,2023-09-04 14:57:00+00:00,2020-08-31 00:00:00+00:00,4.480649230643075,15082930.08421824,631088358.671386,-0.480236,0.0186609,-7.17418482,-22.64177368,-23.15037356,-32.51062023,1209775292.27,1209775292.27363,0.0606,-29.0353
53,The Sandbox,USD,413,2064931926.2233224,3000000000.0,3000000000.0,True,2023-09-04 14:57:00+00:00,2020-08-05 00:00:00+00:00,0.3035918366322129,44380683.98065978,626896476.0026317,-0.35339841,-0.15972546,-4.85275336,-24.27487747,-26.69617434,-41.0096304,910775509.9,910775509.8966388,0.0602,-21.9109
54,Immutable,USD,175,1123390886.950024,2000000000.0,2000000000.0,True,2023-09-04 14:57:00+00:00,2021-06-24 00:00:00+00:00,0.5465550413969245,12999567.32242686,613994952.7218982,-0.17018257,1.27240145,-4.27935546,-25.9585664,-22.26735696,-25.08386022,1093110082.79,1093110082.793849,0.059,41.775
55,Theta Network,USD,155,1000000000.0,1000000000.0,1000000000.0,True,2023-09-04 14:57:00+00:00,2018-01-17 00:00:00+00:00,0.6087300356508385,5130823.00421966,608730035.6508385,-0.40633546,0.0156554,-1.14750447,-18.80193464,-15.11814333,-22.87496355,608730035.65,608730035.6508385,0.0585,-16.9183
56,Bitcoin SV,USD,207,19266076.64423905,19266076.64423905,21000000.0,True,2023-09-04 14:57:00+00:00,2018-11-09 00:00:00+00:00,30.59278843535323,15423402.36769195,589403006.7565054,-0.19102703,0.32824427,-2.40442055,-15.00318168,-27.84639198,0.72117572,642448557.14,589403006.7565054,0.0566,-25.9469
57,Synthetix,USD,461,269566776.87652385,323506696.0887736,323506696.0,True,2023-09-04 14:57:00+00:00,2018-03-14 00:00:00+00:00,2.1575096053502603,110130967.2442669,581592910.3944106,-0.22511337,8.1301533,1.77592434,-14.40134355,4.22760817,-3.3069249,697968804.02,697968804.2066566,0.0559,46.2696
58,Injective,USD,186,83755555.66,100000000.0,100000000.0,True,2023-09-04 14:57:00+00:00,2020-09-29 00:00:00+00:00,6.820862718446541,20127150.77565805,571285147.0640682,-0.33492933,-0.08258444,-1.07168376,-14.74680263,-15.03394457,-6.19998507,682086271.84,682086271.8446541,0.0549,435.961
59,Fantom,USD,505,2803479138.184488,3175000000.0,3175000000.0,True,2023-09-04 14:57:00+00:00,2018-10-29 00:00:00+00:00,0.2027863488346742,34143064.24418095,568507298.4666114,-0.61675756,1.11460326,0.11300129,-14.25350259,-29.22009268,-31.62256226,643846657.55,643846657.5500906,0.0546,0.9318
60,Decentraland,USD,407,1893095370.6427293,2193179327.320146,inf,True,2023-09-04 14:57:00+00:00,2017-09-17 00:00:00+00:00,0.2916654660324929,33197993.21155081,552150543.5224667,-0.26250829,0.08407924,-3.08302859,-19.82824768,-22.42018726,-35.2784466,639674670.6,639674670.5956597,0.053,-3.2357
61,Render,USD,182,371908453.108796,530962614.9787833,536870912.0,True,2023-09-04 14:57:00+00:00,2020-06-11 00:00:00+00:00,1.3568758501751657,14635428.4140727,504633598.49932826,-0.14130721,1.12120623,-3.00540482,-17.29864944,-29.90924146,-43.4130945,728467175.15,720450349.6105657,0.0485,235.7612
62,ApeCoin,USD,313,368593750.0,1000000000.0,1000000000.0,True,2023-09-04 14:57:00+00:00,2022-03-17 12:26:36+00:00,1.3423833652816874,61529264.9328539,494794118.546797,-0.20060795,-1.35369596,-8.24705062,-24.91685752,-33.56154389,-58.03591047,1342383365.28,1342383365.2816875,0.0475,-65.2602
63,Neo,USD,286,70538831.0,100000000.0,100000000.0,True,2023-09-04 14:57:00+00:00,2016-09-08 00:00:00+00:00,6.977371201515829,21226915.81529198,492175608.007992,-0.50051762,-0.7885026,-2.68243234,-16.61218537,-23.15604024,-25.73770372,697737120.15,697737120.151583,0.0473,9.0857
64,THORChain,USD,154,338927282.0,485550377.0,500000000.0,True,2023-09-04 14:57:00+00:00,2019-07-23 00:00:00+00:00,1.4385231429289411,54322844.33256531,487554738.9270035,-0.23197508,-4.01736117,-0.19265035,56.26818653,41.76055692,31.94374702,719261571.46,698475454.3723723,0.0468,11.8715
65,Pax Dollar,USD,99,488345990.5506834,488345990.5506834,inf,True,2023-09-04 14:57:00+00:00,2018-09-27 00:00:00+00:00,0.996285699160514,2326153.43400817,486532126.6280215,0.31773241,0.09443121,0.1275534,-0.05694019,-0.04352719,-0.29315625,486532126.63,486532126.6280215,0.0467,-0.2663
66,Tether Gold,USD,45,246524.0,246524.0,inf,True,2023-09-04 14:57:00+00:00,2020-02-07 00:00:00+00:00,1943.9582744799068,1002901.7932655,479232369.6578845,0.17575247,0.13553026,1.13472482,0.10883142,1.94457108,-0.70110548,479232369.66,479232369.6578845,0.046,6.9749
67,IOTA,USD,96,2779530283.0,2779530283.0,2779530283.0,True,2023-09-04 14:57:00+00:00,2017-06-13 00:00:00+00:00,0.1719675263850645,7742769.17022306,477988947.27988845,-0.65452246,4.22920938,15.9028283,1.71618566,-3.73010271,-5.70563089,477988947.28,477988947.27988845,0.0459,0.0603
68,PAX Gold,USD,126,249134.667,249134.667,inf,True,2023-09-04 14:57:00+00:00,2019-09-26 00:00:00+00:00,1917.7646295509448,3565786.33899465,477781652.36755294,-0.12677175,-0.08217026,0.75752406,-1.29453951,1.52742175,-1.14802005,477781652.37,477781652.36755294,0.0459,5.2346
69,Kava,USD,131,741654724.0,741654723.0,inf,True,2023-09-04 14:57:00+00:00,2019-10-25 00:00:00+00:00,0.6377578477972765,9496639.94008812,472996120.5869231,-0.27378245,-1.06186213,-5.86775256,-23.36337363,-32.44045586,-40.21562237,472996119.95,472996119.9491653,0.0454,18.9482
70,Rocket Pool,USD,106,19694369.84690771,19694369.84690771,inf,True,2023-09-04 14:57:00+00:00,2018-07-17 00:00:00+00:00,23.99415895980693,26253289.13052742,472549840.71993214,-0.46804716,10.91578278,4.47886,-14.34862035,-36.08526997,-50.50647911,472549840.72,472549840.71993214,0.0454,16.5404
71,Flow,USD,150,1036200000.0,1450656993.0,inf,True,2023-09-04 14:57:00+00:00,2021-01-27 00:00:00+00:00,0.4337076051215775,24979195.99296807,449407820.4269786,-1.05445636,1.6574679,-3.89829676,-21.55444207,-30.72371391,-34.14341937,629160970.29,629160970.286899,0.0432,-33.9767
72,eCash,USD,78,19489135923093.0,19489135923093.0,21000000000000.0,True,2023-09-04 14:57:00+00:00,2021-07-08 00:00:00+00:00,2.3034750395596965e-05,4383506.18038714,448927381.4143095,-0.96962767,-1.19818034,-3.54854026,-20.3073909,-35.75618185,-0.01691185,483729758.31,448927381.4143095,0.0431,4.4117
73,Chiliz,USD,379,7401879904.822483,8888888888.0,8888888888.0,True,2023-09-04 14:57:00+00:00,2019-07-01 00:00:00+00:00,0.0595821054996724,17687538.4588038,441019589.38503873,-0.10377187,-0.45591945,-2.30746028,-21.5225387,-20.62532475,-36.53229647,529618715.5,529618715.4996822,0.0424,-41.0455
74,Klaytn,USD,223,3189590427.0609,5775564179.0609,inf,True,2023-09-04 14:57:00+00:00,2020-03-30 00:00:00+00:00,0.1321207976939573,4854336.67067355,421411231.5402963,-0.23441795,-0.79910595,-3.41923788,-14.22326414,-21.43809196,-24.7042333,763072146.47,763072146.4701722,0.0405,-11.9288
75,Frax Share,USD,205,73462344.14938115,99681495.5911336,inf,True,2023-09-04 14:57:00+00:00,2020-09-08 00:00:00+00:00,5.574883856308418,20592770.59692742,409544036.44495815,0.12258279,0.21159693,-5.39943892,-11.93983993,-17.03769385,-10.94759429,555712760.54,555712760.5436895,0.0393,25.8928
76,Zcash,USD,313,16328268.75,16328268.75,21000000.0,True,2023-09-04 14:57:00+00:00,2016-10-29 00:00:00+00:00,24.49291093230379,38573251.80246425,399926832.1724693,-0.16757413,-1.61062059,-2.69196737,-15.36296146,-21.09841731,-17.66842971,514351129.58,399926832.1724693,0.0384,-34.1395
77,Conflux,USD,116,3172534882.51853,5278164274.0,inf,True,2023-09-04 14:57:00+00:00,2020-11-11 00:00:00+00:00,0.1252008087695162,38100802.43562615,397203933.140822,-0.75472762,2.61441493,0.04298859,-29.43635249,-32.23296401,-46.70360113,660830435.92,660830435.9231663,0.0382,465.3969
78,Casper,USD,54,11295499211.0,11986332080.0,inf,True,2023-09-04 14:57:00+00:00,2020-07-21 00:00:00+00:00,0.0350719688627754,2869137.29132619,396155396.6176963,-0.11192934,-2.09249026,-3.31277972,-14.60756112,-6.05545386,-19.57889266,420384265.49,420384265.4886461,0.0381,24.7001
79,KuCoin Token,USD,40,96732986.425851,144232986.425767,170118638.0,True,2023-09-04 14:57:00+00:00,2017-10-24 00:00:00+00:00,4.018533925635879,611388.88945348,388724787.6803572,-0.25996603,0.48461558,-8.47973369,-27.6480846,-36.828691,-43.08404099,683627518.19,579605149.1477239,0.0373,-38.5638
80,BitTorrent(New),USD,121,951421714286000.0,990000000000000.0,inf,True,2023-09-04 14:57:00+00:00,2019-01-31 00:00:00+00:00,4.078104083847378e-07,27134764.25131567,387999677.849081,-0.25942198,0.508434,0.01742822,-11.91564878,-14.08983691,-23.54414756,403732304.3,403732304.3008905,0.0373,-34.701
81,Huobi Token,USD,120,162233844.0,203980445.0,500000000.0,True,2023-09-04 14:57:00+00:00,2018-02-03 00:00:00+00:00,2.375678338623617,12061914.17020566,385415428.98244303,0.1405203,0.92937417,-0.81170294,-12.03998869,-12.2584525,-17.27646853,1187839169.31,484591924.6893061,0.037,-53.5847
82,Sui,USD,163,791777575.076923,10000000000.0,10000000000.0,True,2023-09-04 14:57:00+00:00,2022-07-12 08:03:11+00:00,0.4821366118543554,72057319.1782087,381744957.3898452,-0.33629239,0.36680356,-11.22722302,-17.84308785,-24.79633439,-40.49349976,4821366118.54,4821366118.543554,0.0367,0.0
83,Gala,USD,299,23418252319.497223,25878060221.07368,50000000000.0,True,2023-09-04 14:57:00+00:00,2020-09-16 00:00:00+00:00,0.0162161318187019,94799990.67135485,379753466.5765906,-1.0044904,-4.21617276,-15.93648013,-31.0068078,-31.27284509,-40.89057714,810806590.94,419642035.7572392,0.0365,-3.8012
84,Curve DAO Token,USD,557,867274414.0,2005721315.323964,3303030299.0,True,2023-09-04 14:57:00+00:00,2020-08-14 00:00:00+00:00,0.4357984146375038,21123771.05971916,377956814.67687017,-0.309007,-0.31543555,-9.45666405,-30.28678472,-40.90700719,-44.07257125,1439455367.8,874090169.4228325,0.0363,-17.2516
85,GateToken,USD,26,96041911.1832726,300000000.0,inf,True,2023-09-04 14:57:00+00:00,2019-08-20 00:00:00+00:00,3.8992802259710566,532866.66220671,374494325.1414033,-0.48503397,-0.15126037,1.43962204,-5.5525859,-9.00715804,-3.74025989,1169784067.79,1169784067.791317,0.036,29.5835
86,Mina,USD,105,962257502.8400393,1070364412.8400393,inf,True,2023-09-04 14:57:00+00:00,2021-03-02 00:00:00+00:00,0.3686602303043239,4280672.45784614,354746072.6090725,-0.51736768,-1.53297868,-6.03042018,-14.23595275,-21.14973786,-27.20792086,394600790.95,394600790.9471613,0.0341,-14.8293
